"Node","Type","In_Degree","Out_Degree","Total_Degree","Betweenness","Closeness","PageRank","In_Cycle","SCC_ID","SCC_Size"
"Arginine","regular",0,2,2,0,0.000441891294741494,0.000470806819447831,FALSE,611,1
"Argipressin","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,610,1
"Arsenic","regular",0,1,1,0,0.000356252226576416,0.000470806819447831,FALSE,609,1
"Asbestos","regular",0,1,1,0,0.000398883127243718,0.000470806819447831,FALSE,607,1
"Asphyxia","regular",0,1,1,0,0.00037202380952381,0.000470806819447831,FALSE,606,1
"Aspiration_Pneumonia","regular",0,1,1,0,0.00037202380952381,0.000470806819447831,FALSE,605,1
"Aspirin","regular",0,1,1,0,0.000365497076023392,0.000470806819447831,FALSE,604,1
"Ataxia_Telangiectasia","regular",1,0,1,0,0.000356379187455453,0.000477706574560429,FALSE,603,1
"Atherosclerotic_renal_artery_stenosis","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,602,1
"Atrial_Fibrillation","regular",1,2,3,0,0.000442869796279894,0.00140505922789528,TRUE,700,61
"Atrophic","regular",2,1,3,0,0.000398883127243718,0.00230665128338818,TRUE,700,61
"Autoantibodies","regular",0,1,1,0,0.000398883127243718,0.000470806819447831,FALSE,601,1
"Autoimmune","regular",1,0,1,0,0.000398883127243718,0.00178183733024825,FALSE,785,1
"Autoimmune_Diseases","regular",0,1,1,0,0.000398883127243718,0.000470806819447831,FALSE,600,1
"Autonomic_Dysreflexia","regular",0,1,1,0,0.000441501103752759,0.000470806819447831,FALSE,599,1
"Autosomal_Dominant_Disorder","regular",1,0,1,0,0.000356379187455453,0.000477706574560429,FALSE,598,1
"Autosomal_Recessive_Disorder","regular",1,0,1,0,0.000356379187455453,0.000477706574560429,FALSE,597,1
"Bacteria","regular",0,4,4,0,0.000419639110365086,0.000470806819447831,FALSE,596,1
"Bacterial_Infections","regular",0,3,3,0,0.000419463087248322,0.000470806819447831,FALSE,595,1
