node,scc_id,scc_size
Malignant_mesothelioma,358,1
Mesothelioma,359,1
Asbestos,360,1
Asleep,361,1
Aspergillus,362,1
Aspergillus_fumigatus,363,1
Asphyxia,364,1
Aspiration_Pneumonia,365,1
Aspiration_action,366,1
Aspirin,367,1
Astigmatism,368,1
Asymptomatic,369,1
Ataxia,370,1
Ataxia_Telangiectasia,371,1
Atherosclerotic_renal_artery_stenosis,372,1
Atypical_antipsychotic,373,1
Autoantibodies,374,1
Autoantigens,375,1
Autoimmune_thrombocytopenia,376,1
Autoimmunity,377,1
Autonomic_Dysreflexia,378,1
Autosomal_Dominant_Disorder,379,1
Autosomal_Recessive_Disorder,380,1
Autosomal_Recessive_Juvenile_Parkinson_Disease,381,1
Autosomal_Recessive_Polycystic_Kidney_Disease,382,1
Autosomal_dominant_hereditary_disorder,383,1
Autosomal_recessive_hereditary_disorder,384,1
Avascular_necrosis,385,1
Colonic_Neoplasms,386,1
Malignant_tumor_of_colon,387,1
Azoxymethane,388,1
BARRIER,389,1
BAX_gene_BAX,390,1
BCL2_Related_Protein_11_BCL2L11,391,1
BCL2_gene_BCL2,392,1
BCL_2_Protein,393,1
BK_Virus,394,1
Bacillus_anthracis,395,1
Bacteremia,396,1
Respiratory_Tract_Infections,397,1
Tuberculosis,398,1
Urinary_tract_infection,399,1
Zoonoses,400,1
Bacteria,401,1
Bacteria_Anaerobic,402,1
Bacterial_Infections,403,1
Bacterial_Vaginosis,404,1
Banding_procedure,405,1
Barrett_Esophagus,406,1
Bay_K_8644,407,1
Becker_Muscular_Dystrophy,408,1
Begomovirus,409,1
Benign_Prostatic_Hyperplasia,410,1
Bladder_outlet_obstruction,411,1
Benign_prostatic_hypertrophy,412,1
Benzene,413,1
Bethanechol,414,1
Bicuculline,415,1
Bilateral_hyperplasia,416,1
Bilateral_renal_artery_stenosis,417,1
Bile_Acids,418,1
Biliary_calculi,419,1
Endocytosis,420,1
Signal_Transduction,421,1
Binding_Molecular_Function,422,1
Hypopituitarism,423,1
Traumatic_Brain_Injury,424,1
Blast,425,1
Bleeding_tendency,426,1
DNA_Damage,427,1
Lung_Injury,428,1
Pulmonary_Fibrosis,429,1
Skin_fibrosis_NOS,430,1
Bleomycin,431,1
Blood_Glucose,432,1
Blood_Pressure_Monitoring_Ambulatory,433,1
Blood_alcohol_concentration,434,1
Bluetongue_virus,435,1
Body_Weight_decreased,436,1
Bone_Marrow_Suppression,437,1
Bone_Wires,438,1
Bone_fragile,439,1
Lyme_Disease,440,1
Borrelia_burgdorferi,441,1
Botrytis_cinerea,442,1
Bradycardia,443,1
Bradykinin,444,1
Cerebral_Palsy,445,1
Brain_Injuries,446,1
Bronchiolitis,447,1
Bronchopneumonia,448,1
Bupivacaine,449,1
Melioidosis,450,1
Burkholderia_pseudomallei,451,1
C9orf72_gene_C9orf72,452,1
CA2,453,1
CADASIL,454,1
CD48_wt_Allele,455,1
CD69_protein_human_CD69,456,1
CDKN1A_TCEAL1_NSG1_H3F3AP6,457,1
COGNITIVE_DEFICIT,458,1
COLLAGENASE,459,1
COXSACKIEVIRUS_B3,460,1
CRYGC_CRYGEP,461,1
CYTOCHROME_C,462,1
Cachexia,463,1
Stress,464,1
Toxic_nephropathy,465,1
Cadmium,466,1
Caerulein,467,1
Contracture,468,1
Caffeine,469,1
Calcineurin_inhibitor,470,1
Calcitonin_Gene_Related_Peptide,471,1
Calcium,472,1
Calculi,473,1
Camptothecin,474,1
Gastroenteritis,475,1
Campylobacter_jejuni,476,1
Cancer_Treatment,477,1
Candida,478,1
Candidiasis,479,1
Candida_albicans,480,1
Candida_species,481,1
Candidate_Disease_Gene,482,1
Candidatus_Liberibacter_asiaticus,483,1
Coughing,484,1
Hyperalgesia,485,1
Capsaicin,486,1
Carbachol,487,1
Carbon_Tetrachloride,488,1
Carbon_tetrachloride_homeopathic_preparation,489,1
Malignant_neoplasm_of_lung,490,1
Tumorigenesis,491,1
Carcinogens,492,1
Cardiac_Tamponade,493,1
Cardiac_dysfunction,494,1
Cardiomyopathies_Primary,495,1
Cardiomyopathy_Dilated,496,1
Cardiomyopathy_Hypertrophic_Familial,497,1
Cardiopulmonary_Bypass,498,1
Cardiovascular_arteriosclerosis_unspecified,499,1
Carotid_Stenosis,500,1
Granuloma,501,1
Pleurisy,502,1
Carrageenan,503,1
Caseins,504,1
Cataract,505,1
Catecholamines,506,1
Cell_Cycle,507,1
Cell_Cycle_Progression,508,1
Cell_Growth,509,1
Cerebellar_Ataxia,510,1
Cerebral_Amyloid_Angiopathy,511,1
Cerebrospinal_Fluid,512,1
Intracranial_Hypotension_Essential,513,1
Cerebrospinal_fluid_leak,514,1
Cervical_Ripening,515,1
Chagas_Disease,516,1
Charcot_Marie_Tooth_Disease,517,1
Chemicals,518,1
Chemokine_C_C_Motif_Ligand_4_CCL4,519,1
Chemotaxis,520,1
Chemotherapeutic_agent,521,1
Chickenpox,522,1
Chikungunya_virus,523,1
Sexually_Transmitted_Diseases,524,1
Chlamydia_trachomatis,525,1
Chlorpyrifos,526,1
Cholera,527,1
hypercholesterolemia,528,1
Cholesterol,529,1
Chromium,530,1
Chromosome_abnormality,531,1
Chronic_colitis,532,1
Chronic_cough,533,1
Chronic_gastritis_NOS,534,1
Chronic_glomerulonephritis_NOS,535,1
Liver_Cirrhosis,536,1
Chronic_infectious_disease,537,1
Chronic_low_back_pain,538,1
Chymosin_REN,539,1
Pathological_accumulation_of_air_in_tissues,540,1
Cigarette_smoke,541,1
Cirrhosis,542,1
Injury_to_kidney_NOS,543,1
Nausea,544,1
Ototoxicity,545,1
Vomiting,546,1
Cisplatin,547,1
Clip,548,1
Clipping,549,1
Clonidine,550,1
Clostridium_difficile_infection,551,1
Necrotic_enteritis,552,1
Clostridium_perfringens,553,1
Closure_by_clamp,554,1
Clozapine,555,1
Coagulation_procedure,556,1
Cocaine,557,1
Cockayne_Syndrome,558,1
Platelet_aggregation,559,1
Collagen,560,1
Collagen_Type_II,561,1
Colorectal_Cancer,562,1
Common_wart,563,1
Complement_System_Proteins,564,1
Complication_infection,565,1
Compression,566,1
Compression_procedure,567,1
Hepatitis,568,1
Lymphocyte_Activation,569,1
lymphocyte_proliferation,570,1
Concanavalin_A,571,1
Congenital_Disorders,572,1
Congenital_heart_disease,573,1
Congenital_infectious_disease,574,1
Connective_Tissue_Diseases,575,1
Constipation,576,1
Constriction_injury,577,1
Constriction_procedure,578,1
Contraceptives_Oral,579,1
Contrast_Media,580,1
Copper,581,1
Coronary_Artery_Dissection_Spontaneous,582,1
Coronary_Artery_Vasospasm,583,1
Coronary_Occlusion,584,1
Coronary_Thrombosis,585,1
Coronary_artery_embolism,586,1
Coronavirus_Infections,587,1
Depressive_disorder,588,1
Corticosterone,589,1
Corticotropin,590,1
Cosmetic_procedure,591,1
Q_Fever,592,1
Coxiella_burnetii,593,1
Craniosynostosis,594,1
Creutzfeldt_Jakob_Syndrome,595,1
Croton_Oil,596,1
Infection_by_Cryptococcus_neoformans,597,1
Meningoencephalitis,598,1
Cryptococcus_neoformans,599,1
Culicidae,600,1
Curcumin,601,1
Cycloheximide,602,1
Cystitis,603,1
Decreased_Immunologic_Activity_PE,604,1
Hemorrhagic_cystitis,605,1
Cyclophosphamide,606,1
Gingival_Hyperplasia,607,1
Gingival_Overgrowth,608,1
Cyclosporine,609,1
Cystic_Fibrosis,610,1
Cytokinesis_of_the_fertilized_ovum,611,1
Cytomegalovirus,612,1
Cytopathic_effect,613,1
Cytotoxic_agent,614,1
DELETION,615,1
DHPS_gene_DHPS,616,1
DNA,617,1
DNA_Fragmentation,618,1
Mitochondrial_Diseases,619,1
DNA_Mitochondrial,620,1
DNA_Sequence,621,1
DOCA,622,1
Dactinomycin,623,1
Deafness,624,1
Death_finding,625,1
Osteolysis,626,1
Debris,627,1
Deep_Vein_Thrombosis,628,1
Degenerative_disc_disease_NOS,629,1
Degenerative_disorder,630,1
Delirium,631,1
Dementia,632,1
Demyelination,633,1
Muscular_Atrophy,634,1
Denervation,635,1
Dengue_Fever,636,1
Dengue_Virus,637,1
Deoxycorticosterone,638,1
Dependence,639,1
Depressed_mood,640,1
Dermatitis,641,1
Desoxycorticosterone_acetate,642,1
Detection,643,1
Deterioration,644,1
Dexamethasone,645,1
Dextran,646,1
Dextran_Sulfate,647,1
Ulcerative_Colitis,648,1
Dextran_Sulfate_Sodium,649,1
Diabetes_Insipidus_Nephrogenic,650,1
Diabetes_Mellitus_Insulin_Dependent,651,1
Diabetic_Cardiomyopathies,652,1
Diabetic_Neuropathies,653,1
Diabetic_Retinopathy,654,1
Diabetic_macular_edema,655,1
Diarrheal_disorder,656,1
Diastasis,657,1
Did_not_receive_therapy_or_drug_for,658,1
Fatty_degeneration,659,1
Glucose_Intolerance,660,1
Hyperhomocysteinemia,661,1
Hyperlipidemia,662,1
Nonalcoholic_Steatohepatitis,663,1
Steatohepatitis,664,1
Steatohepatitis_non_alcoholic,665,1
Diet,666,1
Diet_High_Fat,667,1
Diet_Protein_Restricted,668,1
Diethylhexyl_Phthalate,669,1
Hepatocarcinogenesis,670,1
Liver_carcinoma,671,1
Liver_neoplasms,672,1
Primary_carcinoma_of_the_liver_cells,673,1
Diethylnitrosamine,674,1
Digoxin,675,1
Dimethylnitrosamine,676,1
Dinoprost,677,1
Dinoprostone,678,1
Dioxins,679,1
Diphosphonates,680,1
Diquat,681,1
Disability_neurological,682,1
Disease_Progression,683,1
Disorder_of_artery,684,1
Dissection,685,1
Hypokalemia,686,1
Diuretics,687,1
Dyskinetic_syndrome,688,1
Dopa,689,1
Dopamine,690,1
Dopamine_Receptor,691,1
Down_Syndrome,692,1
Heart_Injuries,693,1
Doxorubicin,694,1
Drinking_Water,695,1
Drug_Induced_Liver_Disease,696,1
Dysregulated_host_response,697,1
Dystonia,698,1
E2F1_gene_E2F1_UBE2L3,699,1
EFS,700,1
Hemolytic_Uremic_Syndrome,701,1
EHEC_Escherichia_coli,702,1
ERCC8_CSH1_HSPA9,703,1
Early_Diagnosis,704,1
Hemorrhagic_Fevers_Viral,705,1
Ebola_virus,706,1
Ecstasy_drug,707,1
Ehlers_Danlos_Syndrome,708,1
Elastases,709,1
Elements,710,1
Embolism,711,1
Embolism_Paradoxical,712,1
Embolization_Therapeutic,713,1
Emodin,714,1
Emotional_Stress,715,1
Encephalitis,716,1
Endocarditis,717,1
Endocrine_Disruptors,718,1
Endocrine_System_Diseases,719,1
Pelvic_Pain,720,1
Endometriosis_site_unspecified,721,1
Endometritis,722,1
Endopeptidases,723,1
Endothelin,724,1
Endothelin_1,725,1
Endotoxemia,726,1
Fever,727,1
Uveitis,728,1
Endotoxins,729,1
Enterobacteriaceae,730,1
Enterococcus,731,1
Enterovirus,732,1
Environmental_Exposure,733,1
Environmental_Pollutants,734,1
Inactivation,735,1
Enzymes,736,1
Epidemic,737,1
Epidermolysis_Bullosa_Dystrophica,738,1
Epigenetic_Process,739,1
Epinephrine,740,1
Erythropoietin_EPO,741,1
Escherichia_coli_Infections,742,1
mastitis,743,1
Escherichia_coli,744,1
Pituitary_Neoplasms,745,1
Estrogens,746,1
Fetal_Alcohol_Syndrome,747,1
Gastric_mucosal_lesion,748,1
Injury_of_stomach,749,1
Intoxication,750,1
Lesion_of_stomach,751,1
Pancreatitis_Chronic,752,1
Sedation,753,1
cell_injury,754,1
hypothermia_natural,755,1
Ethanol,756,1
Ethylnitrosourea,757,1
Etiologic_Agent,758,1
Etomidate,759,1
Etoposide,760,1
Evolution,761,1
Exanthema,762,1
Short_Bowel_Syndrome,763,1
Excision,764,1
Exostoses,765,1
Experimental_Autoimmune_Encephalomyelitis,766,1
Exsanguination,767,1
FAS,768,1
FGFR3_gene_FGFR3,769,1
FRAGMENTS,770,1
FRAP1_protein_human_MTOR,771,1
Fabry_Disease,772,1
Falls,773,1
Familial_Alzheimer_s_disease,774,1
Familial_Mediterranean_Fever,775,1
Familial_disease,776,1
Familial_hypophosphatemic_bone_disease,777,1
Fanconi_s_Anemia,778,1
Fatty_Acids,779,1
Fatty_Acids_Nonesterified,780,1
Febrile_neutropenia,781,1
Fenretinide,782,1
Fentanyl,783,1
Ferroptosis,784,1
Fetal_Distress,785,1
Hypertension_Renovascular,786,1
Renal_Artery_Stenosis,787,1
Fibromuscular_Dysplasia,788,1
Flavivirus,789,1
Flavonoids,790,1
Fluid_overload,791,1
Fluorides,792,1
Mucositis,793,1
Fluorouracil,794,1
Flurothyl,795,1
Nephrotic_Syndrome,796,1
Focal_segmental_glomerulosclerosis,797,1
Food,798,1
Foramen_Ovale_Patent,799,1
Force,800,1
Foreign_Bodies,801,1
Formalin,802,1
Fracture,803,1
Fragile_X_Syndrome,804,1
Tularemia,805,1
Francisella_tularensis,806,1
Tissue_damage,807,1
Free_Radicals,808,1
Inflammatory_pain,809,1
Freund_s_Adjuvant,810,1
Pancreatitis_Acute,811,1
Hypertriglyceridemia,812,1
Fructose,813,1
Functional_disorder_of_intestine,814,1
Fungi_Filamentous,815,1
Fusarium,816,1
Infectious_bovine_keratoconjunctivitis,817,1
Fusarium_graminearum,818,1
G2_Phase,819,1
Gadolinium,820,1
Galactosamine,821,1
Galactose,822,1
Gastritis,823,1
Gastroesophageal_reflux_disease,824,1
Gastrointestinal_Hemorrhage,825,1
Gaucher_Disease,826,1
Gene_Environment_Interaction,827,1
Gene_Expression,828,1
Hereditary_Diseases,829,1
Gene_Mutation,830,1
Generalized_ischemic_myocardial_dysfunction,831,1
Schizophrenia,832,1
Genes,833,1
Genistein,834,1
Genome,835,1
Gentamicins,836,1
Genus_Coronavirus,837,1
Genus_Mycobacterium,838,1
Germ_Line_Mutation,839,1
Glomerulonephritis,840,1
Glucocorticoid_remediable_aldosteronism,841,1
Osteopenia,842,1
Glucocorticoids,843,1
Glucose,844,1
Glutamate,845,1
Glutamates,846,1
Glutathione,847,1
Glycerol,848,1
Glycogen_Synthase_Kinase_3,849,1
Glycogen_storage_disease_type_II,850,1
Glycosylation_End_Products_Advanced,851,1
Glycyrrhizic_Acid,852,1
Gout,853,1
Graft_loss,854,1
Graft_vs_Host_Disease,855,1
Gram_Negative_Bacteria,856,1
Gram_Positive_Bacteria,857,1
Gram_Positive_Cocci,858,1
Gram_negative_bacillus,859,1
Granulomatous_Disease_Chronic,860,1
Hyperthyroidism,861,1
Graves_Disease,862,1
Growth_arrest,863,1
Growth_retardation,864,1
HIV,865,1
HIV_1,866,1
HIV_Infections,867,1
HM13_gene_HM13,868,1
HMGB1_Protein,869,1
Otitis_Media,870,1
Haemophilus_influenzae,871,1
Haemophilus_influenzae_type_b_bacteria,872,1
