"node","in_degree","out_degree","total_degree","betweenness","is_exposure","is_outcome","in_scc"
"Poisoning",2,2,4,3.87040431708182e-07,FALSE,FALSE,FALSE
"Primary_carcinoma_of_the_liver_cells",4,1,5,0,FALSE,FALSE,TRUE
"Prion_Diseases",2,0,2,0,FALSE,FALSE,FALSE
"Pulmonary_Fibrosis",5,2,7,1.16743359202176e-05,FALSE,FALSE,TRUE
"Respiration_Disorders",1,4,5,8.81412105592667e-08,FALSE,FALSE,FALSE
"Respiratory_Tract_Infections",1,4,5,0,FALSE,FALSE,TRUE
"Sarcoidosis",0,2,2,0,FALSE,FALSE,FALSE
"Scrapie",1,0,1,0,FALSE,FALSE,FALSE
"Septic_Shock",3,2,5,1.24445377442983e-08,FALSE,FALSE,FALSE
"Septicemia",13,12,25,8.44425558446639e-05,FALSE,FALSE,TRUE
"Shock",17,4,21,0.000170482920728813,FALSE,FALSE,TRUE
"Thrombocytopenia",8,2,10,1.07959526856016e-05,FALSE,FALSE,TRUE
"Tissue_damage",11,3,14,1.03141294783559e-06,FALSE,FALSE,FALSE
"Torsades_de_Pointes",0,0,0,0,FALSE,FALSE,FALSE
"Ulcer",6,1,7,7.30719594025233e-09,FALSE,FALSE,FALSE
"Urinary_tract_infection",0,2,2,0,FALSE,FALSE,FALSE
"Virus_Diseases",2,7,9,1.55146478355864e-05,FALSE,FALSE,TRUE
"depolarization",24,1,25,2.34606339059342e-07,FALSE,FALSE,FALSE
"hypoglycemia",8,2,10,2.02734450974395e-06,FALSE,FALSE,FALSE
"leukemia",0,0,0,0,FALSE,FALSE,FALSE
"mastitis",1,0,1,0,FALSE,FALSE,FALSE
"Agrobacterium",0,1,1,0,FALSE,FALSE,FALSE
"Air",0,1,1,0,FALSE,FALSE,FALSE
"Air_Pollutants",0,2,2,0,FALSE,FALSE,FALSE
"Air_Pollution",0,3,3,0,FALSE,FALSE,FALSE
"Cardiovascular_Diseases",44,12,56,0.000356258672235386,FALSE,FALSE,TRUE
"Airway_Obstruction",6,4,10,0.00018272917836857,FALSE,FALSE,TRUE
"Sleep_Apnea_Obstructive",9,12,21,0.000722790528948107,FALSE,FALSE,TRUE
"Alarmins",0,2,2,0,FALSE,FALSE,FALSE
"Albumins",0,2,2,0,FALSE,FALSE,FALSE
"Alcoholic_Intoxication_Chronic",1,0,1,0,FALSE,FALSE,FALSE
"Alcoholic_Liver_Diseases",2,2,4,2.45376543919281e-06,FALSE,FALSE,FALSE
"Aldehydes",0,2,2,0,FALSE,FALSE,FALSE
"Aldosterone",0,14,14,0,FALSE,FALSE,FALSE
"Hypernatremia",3,1,4,0,FALSE,FALSE,FALSE
"Injury_to_kidney_NOS",10,0,10,0,FALSE,FALSE,FALSE
"Myocardial_fibrosis",5,1,6,8.95040565737987e-08,FALSE,FALSE,TRUE
"Alfentanil",0,1,1,0,FALSE,FALSE,FALSE
"Lack_of_sensation",61,3,64,0.000148502716793106,FALSE,FALSE,TRUE
"Alkaline_phosphatase_isoenzyme_bone_fraction_PHB2_SIL1",0,2,2,0,FALSE,FALSE,FALSE
"Alkaloids",0,1,1,0,FALSE,FALSE,FALSE
"Alkylating_Agents",0,1,1,0,FALSE,FALSE,FALSE
"Alleles",0,0,0,0,FALSE,FALSE,FALSE
"Allergens",0,4,4,0,FALSE,FALSE,FALSE
"Allergic_rhinitis_NOS",0,0,0,0,FALSE,FALSE,FALSE
"Allopurinol",0,0,0,0,FALSE,FALSE,FALSE
"Alloxan",0,4,4,0,FALSE,FALSE,FALSE
"Alphavirus",0,0,0,0,FALSE,FALSE,FALSE
"Alphaxolone",0,1,1,0,FALSE,FALSE,FALSE
"Alport_s_syndrome",1,2,3,2.71620545247588e-08,FALSE,FALSE,FALSE
"Kidney_Failure",55,3,58,0.000594853303197527,FALSE,FALSE,TRUE
"Alprostadil",0,1,1,0,FALSE,FALSE,FALSE
"Alteplase",0,1,1,0,FALSE,FALSE,FALSE
"Cerebral_hemisphere_hemorrhage",7,3,10,9.82627686940221e-05,FALSE,FALSE,TRUE
"Alternaria_alternata",0,0,0,0,FALSE,FALSE,FALSE
"Alternative_Splicing",0,0,0,0,FALSE,FALSE,FALSE
"Althesin",0,1,1,0,FALSE,FALSE,FALSE
"Aluminum",0,12,12,0,FALSE,FALSE,FALSE
"Anemia",20,3,23,0.000330878535901591,FALSE,FALSE,TRUE
"Encephalopathies",13,1,14,5.3755311389677e-07,FALSE,FALSE,FALSE
"Neurofibrillary_Tangles",3,1,4,0,FALSE,FALSE,TRUE
"Osteomalacia",3,0,3,0,FALSE,FALSE,FALSE
"Aging",10,0,10,0,FALSE,FALSE,FALSE
"Amyloid_deposition",1,2,3,6.56659280042711e-05,FALSE,FALSE,TRUE
"Cerebral_atrophy",1,1,2,0,FALSE,FALSE,TRUE
"Dementia_Vascular",6,0,6,0,FALSE,FALSE,FALSE
"Evaluation",2,0,2,0,FALSE,FALSE,FALSE
"Evaluation_procedure",3,0,3,0,FALSE,FALSE,FALSE
"Lewy_Body_Disease",2,0,2,0,FALSE,FALSE,FALSE
"Memory_Loss",1,0,1,0,FALSE,FALSE,FALSE
"Senile_Plaques",3,0,3,0,FALSE,FALSE,FALSE
"Senile_dementia",1,0,1,0,FALSE,FALSE,FALSE
"Amebiasis",0,1,1,0,FALSE,FALSE,FALSE
"Amines",0,2,2,0,FALSE,FALSE,FALSE
"Amino_Acid_Substitution",1,0,1,0,FALSE,FALSE,FALSE
"Amino_Acids",0,1,1,0,FALSE,FALSE,FALSE
"Aminoglycosides",0,2,2,0,FALSE,FALSE,FALSE
"Amiodarone",0,1,1,0,FALSE,FALSE,FALSE
"Ammonia",0,4,4,0,FALSE,FALSE,FALSE
"Brain_Edema",9,2,11,5.40728061972943e-05,FALSE,FALSE,TRUE
"Amoxicillin_Potassium_Clavulanate_Combination",0,0,0,0,FALSE,FALSE,FALSE
"Amphetamine",0,1,1,0,FALSE,FALSE,FALSE
"Amphotericin_B",0,1,1,0,FALSE,FALSE,FALSE
"Amplification",0,0,0,0,FALSE,FALSE,FALSE
"Amputation",0,1,1,0,FALSE,FALSE,FALSE
"Amylin",0,3,3,0,FALSE,FALSE,FALSE
"Diabetes_Mellitus_Non_Insulin_Dependent",30,16,46,0.000293537095195083,FALSE,FALSE,TRUE
"Amyloid",0,17,17,0,FALSE,FALSE,FALSE
"Amyloidosis",10,8,18,0.000202983009039643,FALSE,FALSE,TRUE
"Dementia",7,1,8,3.14914159516966e-05,FALSE,FALSE,FALSE
"Amyloid_Fibrils",0,2,2,0,FALSE,FALSE,FALSE
"Amyloid_beta",0,2,2,0,FALSE,FALSE,FALSE
"Amyloid_beta_Peptides",0,15,15,0,FALSE,FALSE,FALSE
"Cognition_Disorders",4,0,4,0,FALSE,FALSE,FALSE
"Neuroinflammation",4,0,4,0,FALSE,FALSE,FALSE
"neuron_death",1,0,1,0,FALSE,FALSE,FALSE
"Amyloid_beta_Protein_Precursor",0,4,4,0,FALSE,FALSE,FALSE
"Familial_Alzheimer_s_disease",4,0,4,0,FALSE,FALSE,FALSE
"Cardiomyopathy_Restrictive",1,0,1,0,FALSE,FALSE,FALSE
"Nephrotic_Syndrome",4,2,6,0.000142552099904635,FALSE,FALSE,TRUE
"Amyotrophic_Lateral_Sclerosis",6,2,8,3.42120438737001e-06,FALSE,FALSE,TRUE
"Analgesic_nephropathy",0,1,1,0,FALSE,FALSE,FALSE
"Analgesics",0,3,3,0,FALSE,FALSE,FALSE
"Headache",15,3,18,0.000330392492329334,FALSE,FALSE,TRUE
"Analgesics_Opioid",0,0,0,0,FALSE,FALSE,FALSE
"Analog",0,1,1,0,FALSE,FALSE,FALSE
"Anaplasma_phagocytophilum",0,0,0,0,FALSE,FALSE,FALSE
"Androgen_therapy",0,0,0,0,FALSE,FALSE,FALSE
"Androgens",0,14,14,0,FALSE,FALSE,FALSE
"Alopecia",2,0,2,0,FALSE,FALSE,FALSE
"Androgenetic_Alopecia",1,0,1,0,FALSE,FALSE,FALSE
"Benign_prostatic_hypertrophy",3,0,3,0,FALSE,FALSE,FALSE
"Cell_Growth",4,0,4,0,FALSE,FALSE,FALSE
"Cell_Proliferation",13,0,13,0,FALSE,FALSE,FALSE
"Hirsutism",1,0,1,0,FALSE,FALSE,FALSE
"Malignant_neoplasm_of_prostate",2,1,3,5.22533567361591e-06,FALSE,FALSE,FALSE
"Polycystic_Ovary_Syndrome",4,0,4,0,FALSE,FALSE,FALSE
"Virilism",2,0,2,0,FALSE,FALSE,FALSE
"ovarian_neoplasm",1,0,1,0,FALSE,FALSE,FALSE
"Anesthesia_procedures",0,0,0,0,FALSE,FALSE,FALSE
"Anesthetics",0,4,4,0,FALSE,FALSE,FALSE
"Aneurysm_Dissecting",0,3,3,0,FALSE,FALSE,FALSE
"Cerebrovascular_accident",75,32,107,0.00395648831906781,FALSE,FALSE,TRUE
"Infarction",25,7,32,0.000263347976422891,FALSE,FALSE,TRUE
"Ischemic_stroke",27,6,33,8.80083279566404e-05,FALSE,FALSE,TRUE
"Aneurysm_Ruptured",0,2,2,0,FALSE,FALSE,FALSE
"Angiogenesis",0,0,0,0,FALSE,FALSE,FALSE
