"Node","In_Degree","Out_Degree","Total_Degree","Betweenness","semtype","cui"
"Hereditary_Diseases",5,6,11,4.787969054179e-06,NA,"C0019247"
"Liver_diseases",9,2,11,2.67605622508e-06,NA,"C0023895"
"Inflammatory_disorder",7,4,11,2.25677340013882e-05,NA,"C1290884"
"Doxorubicin",0,11,11,0,NA,"C0013089"
"MAPT",0,11,11,0,NA,"4137"
"Neurotoxins",0,11,11,0,NA,"C0027934"
"Prions",0,11,11,0,NA,"C0033164"
"Purpura_Thrombotic_Thrombocytopenic",7,3,10,0.000133802707984543,NA,"C0034155"
"Thrombocytopenia",8,2,10,1.07959526856016e-05,NA,"C0040034"
"hypoglycemia",8,2,10,2.02734450974395e-06,NA,"C0020615"
"Airway_Obstruction",6,4,10,0.00018272917836857,NA,"C0001883"
"Injury_to_kidney_NOS",10,0,10,0,NA,"C0160420"
"Cerebral_hemisphere_hemorrhage",7,3,10,9.82627686940221e-05,NA,"C0007784"
"Aging",10,0,10,0,NA,"C0001811"
"Infiltration",7,3,10,7.17167366108107e-07,NA,"C0332448"
"Up_Regulation_Physiology",10,0,10,0,NA,"C0041904"
"Respiratory_Distress_Syndrome_Adult",7,3,10,9.23414186397549e-06,NA,"C0035222"
"Death_Sudden_Cardiac",9,1,10,0,NA,"C0085298"
"Ventricular_arrhythmia",9,1,10,3.14689460200648e-08,NA,"C0085612"
"Cerebral_Ischemia",5,5,10,7.30403651545303e-06,NA,"C0917798"
"Hydrocephalus",8,2,10,8.01628233682415e-06,NA,"C0020255"
"Cholesterol",0,10,10,0,NA,"C0008377"
"Fibrosis_Liver",9,1,10,1.10308879825989e-05,NA,"C0239946"
"Heart_Arrest",8,2,10,2.92523461923348e-06,NA,"C0018790"
"Constriction_procedure",0,10,10,0,NA,"C0009813"
"Mitral_Valve_Insufficiency",7,3,10,3.22891580240661e-06,NA,"C0026266"
"Corticosterone",0,10,10,0,NA,"C0010124"
"Dyslipidemias",5,5,10,1.76907233055237e-07,NA,"C0242339"
"Myocardial_dysfunction",8,2,10,1.62146134151641e-06,NA,"C0340515"
"Fatty_Liver",8,2,10,7.10380725530012e-06,NA,"C0015695"
"Vitamin_D_Deficiency",1,9,10,3.03758142109467e-07,NA,"C0042870"
"Embolization_Therapeutic",0,10,10,0,NA,"C0013931"
"Endotoxins",0,10,10,0,NA,"C0014264"
"Ventricular_Fibrillation",8,2,10,7.43660882263636e-08,NA,"C0042510"
"Hypertrophic_Cardiomyopathy",5,5,10,3.68536865451034e-05,NA,"C0007194"
"Hydrocortisone",0,10,10,0,NA,"C0020268"
"Intestinal_Microbiome",0,10,10,0,NA,"C2985398"
"Prostaglandins",0,10,10,0,NA,"C0033554"
"Superoxides",0,10,10,0,NA,"C0038836"
"Toxin",0,10,10,0,NA,"C0040549"
"alpha_Synuclein",0,10,10,0,NA,"C0285890"
"scopolamine",0,10,10,0,NA,"C0036442"
"Cataract",8,1,9,4.13375223029179e-07,NA,"C0086543"
"Glaucoma",6,3,9,6.70894577985332e-06,NA,"C0017601"
"Osteopenia",9,0,9,0,NA,"C0029453"
"Carcinogenesis",8,1,9,5.15836754813812e-06,NA,"C0596263"
"Cardiotoxicity",5,4,9,6.50820170144623e-07,NA,"C0876994"
"Virus_Diseases",2,7,9,1.55146478355864e-05,NA,"C0042769"
"Arthritis",7,2,9,5.61754631035829e-07,NA,"C0003864"
"Myocarditis",4,5,9,2.44596052825019e-06,NA,"C0027059"
"Dissociation",9,0,9,0,NA,"C0086168"
"hypercholesterolemia",4,5,9,7.88114379811953e-07,NA,"C0020443"
"Vasculitis",2,7,9,7.40257511793936e-05,NA,"C0042384"
"nervous_system_disorder",7,2,9,2.81691626397803e-06,NA,"C0027765"
"Spastic_syndrome",3,6,9,0.000160681372575324,NA,"C0270814"
"DNA_Mitochondrial",0,9,9,0,NA,"C0012929"
"Malignant_neoplasm_of_breast",6,3,9,5.39209040303447e-07,NA,"C0006142"
"Multiple_Sclerosis",5,4,9,2.64500755258997e-05,NA,"C0026769"
"Excitation",7,2,9,3.77329671280073e-07,NA,"C0549255"
"hypothermia_natural",7,2,9,2.92906625651735e-06,NA,"C0020672"
"Migraine_Disorders",6,3,9,0.00023204305628786,NA,"C0149931"
"Immobilization",0,9,9,0,NA,"C0020944"
"Injection",0,9,9,0,NA,"C1272883"
"Potassium",0,9,9,0,NA,"C0032821"
"SUCLA2_gene_SUCLA2",0,9,9,0,NA,"C1420510"
"Salts",0,9,9,0,NA,"C0036140"
"Cytokinesis_of_the_fertilized_ovum",8,0,8,0,NA,"C1330957"
"Vasodilation_disorder",7,1,8,4.676018482214e-05,NA,"C0595862"
"Adriamycin",0,8,8,0,NA,"C0085752"
"Communicable_Diseases",2,6,8,3.01872523375612e-06,NA,"C0009450"
"Hepatotoxicity",8,0,8,0,NA,"C0235378"
"Lung_diseases",5,3,8,5.87985226933229e-05,NA,"C0024115"
"NEPHROTOXICITY",5,3,8,2.56968788158581e-07,NA,"C0599918"
"Dementia",7,1,8,3.14914159516966e-05,NA,"C0497327"
"Amyotrophic_Lateral_Sclerosis",6,2,8,3.42120438737001e-06,NA,"C0002736"
"Autophagy",8,0,8,0,NA,"C0004391"
"Hypertrophy_Left_Ventricular",7,1,8,0,NA,"C0149721"
"Mouse_Model",8,0,8,0,NA,"C2986594"
"Oxidative_Damage",8,0,8,0,NA,"C5392203"
"Arginine",0,8,8,0,NA,"C0003765"
"Cerebral_Infarction",6,2,8,0,NA,"C0007785"
"Renal_Artery_Stenosis",3,5,8,0.000137802621026883,NA,"C0035067"
"Bacteria",0,8,8,0,NA,"C0004611"
"Intracranial_Hypertension",5,3,8,0.000212160696086034,NA,"C0151740"
"Fever",6,2,8,7.76786088600546e-08,NA,"C0015967"
"Swelling",7,1,8,2.24340459916725e-07,NA,"C0038999"
"Cholestasis",7,1,8,8.44717698300538e-06,NA,"C0008370"
"Chronic_inflammatory_disorder",1,7,8,8.60646035704773e-06,NA,"C1290886"
